Latitude, Longitude, Month, Day, Year, Hour, Minute, Second
3256.244, -7805.606, 03, 16, 2012, 15, 32, 15
3256.269, -7805.572, 03, 16, 2012, 15, 35, 37
3256.266, -7805.571, 03, 16, 2012, 15, 36, 24
3256.259, -7805.558, 03, 16, 2012, 15, 39, 40
3256.247, -7805.551, 03, 16, 2012, 15, 49, 32
3256.231, -7805.562, 03, 16, 2012, 16, 04, 07
3256.374, -7805.694, 03, 16, 2012, 16, 44, 14
3256.371, -7805.685, 03, 16, 2012, 16, 46, 33
3256.371, -7805.685, 03, 16, 2012, 16, 47, 23
3255.934, -7804.690, 03, 16, 2012, 18, 59, 56
3256.594, -7804.979, 03, 16, 2012, 21, 00, 20
3256.732, -7805.489, 03, 16, 2012, 22, 55, 12
3255.610, -7805.753, 03, 17, 2012, 00, 59, 59
3256.914, -7805.821, 03, 17, 2012, 02, 59, 20
3257.514, -7805.094, 03, 17, 2012, 04, 53, 47
3257.644, -7806.132, 03, 17, 2012, 06, 56, 17
3257.293, -7806.510, 03, 17, 2012, 08, 53, 20
3256.462, -7805.691, 03, 17, 2012, 10, 59, 16
3256.720, -7805.806, 03, 17, 2012, 12, 59, 56
3256.623, -7805.599, 03, 17, 2012, 14, 53, 49
3257.119, -7805.941, 03, 17, 2012, 16, 54, 51
3257.066, -7805.780, 03, 17, 2012, 18, 54, 23
3256.393, -7805.833, 03, 17, 2012, 20, 56, 28
3256.248, -7804.941, 03, 18, 2012, 01, 17, 59
3255.804, -7805.179, 03, 18, 2012, 05, 19, 23
3255.624, -7806.825, 03, 18, 2012, 09, 13, 19
3255.905, -7806.403, 03, 18, 2012, 13, 18, 16
3256.440, -7806.541, 03, 18, 2012, 17, 12, 22
3256.370, -7806.468, 03, 18, 2012, 21, 14, 25
3255.525, -7805.414, 03, 19, 2012, 01, 12, 56
3254.872, -7803.992, 03, 19, 2012, 05, 17, 01
3253.740, -7802.902, 03, 19, 2012, 09, 22, 40
3253.740, -7802.902, 03, 19, 2012, 09, 22, 44
3254.029, -7803.344, 03, 19, 2012, 13, 23, 59
3253.813, -7803.427, 03, 19, 2012, 17, 15, 50
3253.813, -7803.427, 03, 19, 2012, 17, 15, 54
3254.040, -7803.287, 03, 19, 2012, 21, 16, 16
3253.580, -7802.799, 03, 20, 2012, 01, 21, 29
3253.548, -7802.874, 03, 20, 2012, 05, 20, 01
3253.784, -7803.280, 03, 20, 2012, 09, 17, 09
3253.784, -7803.280, 03, 20, 2012, 09, 17, 13
3254.138, -7802.940, 03, 20, 2012, 13, 19, 58
3253.950, -7802.528, 03, 20, 2012, 17, 23, 00
3253.675, -7803.539, 03, 20, 2012, 21, 22, 02
3254.178, -7802.905, 03, 21, 2012, 05, 19, 53
3253.594, -7803.898, 03, 21, 2012, 09, 22, 31
3253.866, -7802.679, 03, 21, 2012, 13, 15, 30
3253.151, -7803.092, 03, 21, 2012, 17, 20, 47
3252.060, -7802.169, 03, 21, 2012, 21, 26, 24
3251.526, -7800.424, 03, 22, 2012, 05, 23, 25
3251.121, -7801.075, 03, 22, 2012, 09, 17, 01
3250.964, -7800.789, 03, 22, 2012, 13, 23, 00
3251.043, -7800.675, 03, 22, 2012, 17, 20, 33
3250.778, -7801.325, 03, 22, 2012, 21, 17, 25
3251.359, -7801.708, 03, 23, 2012, 09, 50, 51
3251.438, -7801.680, 03, 23, 2012, 14, 07, 16
3251.147, -7801.268, 03, 23, 2012, 16, 36, 30
3251.147, -7801.268, 03, 23, 2012, 16, 36, 35
3250.998, -7801.304, 03, 23, 2012, 17, 01, 12
3252.018, -7802.239, 03, 23, 2012, 21, 43, 31
3252.018, -7802.239, 03, 23, 2012, 21, 43, 35
3250.848, -7801.655, 03, 24, 2012, 05, 39, 29
3251.301, -7800.077, 03, 24, 2012, 09, 43, 51
3250.906, -7800.726, 03, 24, 2012, 13, 47, 02
3250.995, -7800.772, 03, 24, 2012, 17, 41, 39
3251.444, -7800.965, 03, 24, 2012, 21, 55, 34
3251.083, -7800.430, 03, 25, 2012, 01, 40, 34
3251.357, -7801.153, 03, 25, 2012, 05, 55, 28
3250.951, -7800.580, 03, 25, 2012, 09, 58, 02
3250.951, -7800.580, 03, 25, 2012, 09, 58, 06
3251.331, -7800.716, 03, 25, 2012, 17, 48, 20
3250.872, -7800.697, 03, 25, 2012, 21, 50, 48
3251.148, -7800.925, 03, 26, 2012, 01, 47, 38
3251.148, -7800.925, 03, 26, 2012, 01, 47, 42
3250.926, -7800.991, 03, 26, 2012, 05, 47, 01
3251.185, -7800.810, 03, 26, 2012, 09, 54, 57
3250.729, -7801.145, 03, 26, 2012, 17, 46, 32
3251.259, -7800.987, 03, 26, 2012, 21, 53, 48
3250.510, -7801.296, 03, 27, 2012, 05, 46, 40
3251.012, -7804.238, 03, 27, 2012, 09, 57, 59
3251.962, -7807.872, 03, 27, 2012, 13, 48, 07
3253.427, -7809.928, 03, 27, 2012, 17, 50, 33
3254.628, -7811.925, 03, 27, 2012, 21, 43, 24
3257.028, -7815.134, 03, 28, 2012, 01, 45, 42
3258.822, -7816.687, 03, 28, 2012, 05, 44, 16
3259.415, -7818.750, 03, 28, 2012, 09, 44, 32
3301.406, -7821.747, 03, 28, 2012, 13, 44, 08
3303.429, -7823.463, 03, 28, 2012, 17, 45, 23
3304.514, -7824.795, 03, 28, 2012, 21, 43, 09
3304.514, -7824.795, 03, 28, 2012, 21, 43, 13
3306.148, -7823.056, 03, 29, 2012, 06, 27, 05
3305.090, -7819.894, 03, 29, 2012, 10, 27, 33
3305.090, -7819.894, 03, 29, 2012, 10, 27, 37
3305.287, -7818.614, 03, 29, 2012, 14, 28, 08
3306.407, -7817.978, 03, 29, 2012, 18, 27, 33
3306.530, -7817.584, 03, 29, 2012, 21, 48, 40
3306.004, -7817.518, 03, 30, 2012, 02, 09, 25
3306.219, -7817.290, 03, 30, 2012, 06, 10, 27
3304.842, -7816.689, 03, 30, 2012, 10, 09, 33
3304.842, -7816.689, 03, 30, 2012, 10, 09, 37
3303.696, -7814.484, 03, 30, 2012, 14, 11, 28
3303.696, -7814.484, 03, 30, 2012, 14, 11, 32
3302.298, -7814.016, 03, 30, 2012, 18, 10, 14
3301.189, -7812.100, 03, 30, 2012, 22, 13, 22
3301.189, -7812.100, 03, 30, 2012, 22, 13, 26
3300.645, -7810.306, 03, 31, 2012, 02, 12, 11
3259.512, -7809.851, 03, 31, 2012, 06, 12, 35
3257.187, -7808.274, 03, 31, 2012, 11, 25, 14
3255.943, -7804.971, 03, 31, 2012, 16, 26, 39
3253.164, -7803.512, 03, 31, 2012, 21, 29, 08
3252.045, -7759.497, 04, 01, 2012, 02, 22, 34
3252.045, -7759.497, 04, 01, 2012, 02, 22, 38
3250.482, -7801.575, 04, 01, 2012, 12, 32, 44
3250.895, -7800.906, 04, 01, 2012, 17, 30, 41
3251.022, -7801.337, 04, 01, 2012, 22, 29, 25
3251.022, -7801.337, 04, 01, 2012, 22, 29, 29
3250.896, -7800.863, 04, 02, 2012, 03, 38, 44
3251.059, -7801.791, 04, 02, 2012, 08, 28, 06
3251.525, -7801.419, 04, 02, 2012, 13, 34, 26
3251.525, -7801.419, 04, 02, 2012, 13, 34, 30
3251.102, -7803.196, 04, 03, 2012, 04, 38, 11
3250.451, -7803.901, 04, 03, 2012, 09, 39, 42
3250.200, -7804.356, 04, 03, 2012, 14, 28, 43
3249.927, -7805.669, 04, 03, 2012, 19, 28, 21
3249.922, -7805.912, 04, 03, 2012, 19, 41, 05
3249.904, -7806.156, 04, 03, 2012, 19, 54, 06
3249.904, -7806.197, 04, 03, 2012, 19, 56, 32
3249.849, -7806.677, 04, 03, 2012, 20, 25, 17
